recipe_id,recipe_name,cooking_time,difficulty,sub_ingredients,Seasonings,main_ingredients
45,오징어불고기,40.0,2,,"고추장, 다진파, 다진마늘, 물엿, 생강즙, 참기름, 간장, 설탕, 고춧가루, 깨소금",오징어
46,생선탕수,40.0,2,"식용유, 육수, 양파, 당근, 피망, 파인애플, 계란, 녹말","식초, 설탕, 청주, 토마토케첩, 마늘, 간장, 소금, 후춧가루","대구살, 생강즙, 목이버섯"
47,갈비구이,60.0,2,"상추, 깻잎","배즙, 양파즙, 물엿, 설탕, 통깨, 참기름, 후춧가루, 청주, 간장, 육수, 대파, 마늘, 양파, 생강즙, 월계수잎",갈비
48,돈까스,60.0,2,"계란, 당근, 육수, 버터, 샐러리, 쇠고기, 양파, 밀가루, 빵가루, 식용유","통마늘, 월계수잎, 레드와인, 토마토케찹, 소금, 후춧가루",돼기고기
49,갈비찜,80.0,2,"계란, 홍고추, 은행, 잣, 대파","간장, 설탕, 청주, 배, 다진파, 다진마늘, 깨소금, 참기름, 후춧가루","쇠고기, 무, 당근, 표고버섯, 밤"
50,제육보쌈,60.0,2,"배추, 무명실, 깨소금, 미나리, 갓, 실파","된장, 생강, 고춧가루, 다진파, 다진마늘, 참기름, 젓국","돼기고기, 새우젓, 무, 굴"
51,홍합꼬치구이,30.0,2,"대파, 파슬리, 깨소금","청주, 소금, 고추장, 간장, 물엿, 다진마늘, 생강즙, 참기름",홍합
52,청국장찌개,30.0,1,"배추김치, 두부, 대파, 물","다진마늘, 김칫국물, 소금","청국장, 쇠고기, 무"
53,순두부찌개,25.0,1,"돼기고기, 바지락, 배추김치, 양파, 대파, 계란, 식용유, 물","고춧가루, 다진마늘, 소금, 후춧가루",순두부
54,동태찌개,40.0,1,"애호박, 두부, 청고추, 홍고추, 대파, 물","고추장, 고춧가루, 다진마늘, 다진생강, 소금","동태, 무"
55,김치찌개,40.0,1,"대파, 육수","다진마늘, 참기름, 고춧가루, 생강즙","배추김치, 돼기고기, 가래떡"
56,콩비지찌개,30.0,2,"물, 식용유","다진파, 다진마늘, 소금, 간장, 고춧가루, 참기름, 깨소금","흰콩, 돼지고기, 배춧잎"
57,북어국,30.0,1,"계란, 대파, 물, 홍고추","다진마늘, 소금, 후춧가루, 참기름","통북어, 콩나물, 두부"
58,유부초밥,20.0,2,"당근, 밥","간장, 청주, 설탕, 후춧가루","유부, 우엉, 쇠고기"
59,오색주먹밥도시락,30.0,1,"다시마, 청주, 소금","식초, 설탕, 간장, 물엿, 후춧가루, 깨소금, 참기름, 고춧가루","쌀, 다진쇠고기, 표고버섯, 멸치, 단무지, 김치"
60,해파리냉채,40.0,1,토마토,"다진마늘, 식초, 육수, 설탕, 간장, 소금, 참기름","해파리, 게맛살, 오이"
61,통배추김치,90.0,2,"물, 실파, 배, 대파","소금, 고춧가루, 마늘, 생강, 설탕, 깨소금","배추, 무, 갓, 미나리, 멸치젓"
62,열무김치,40.0,2,"실파, 청고추, 홍고추, 물, 밀가루","소금, 마늘, 생강","열무, 풋배추"
63,오이소박이,40.0,2,"다진파, 다진마늘, 다진생강","소금, 고춧가루, 설탕, 진간장, 청주, [절임용 소금물] 소금, 물","오이, 부추"
64,나박김치,35.0,2,"무, 대파, 물","생강, 마늘, 소금, 고춧가루","배추, 미나리, 홍고추"
65,총각김치,60.0,2,"대파, 찹쌀가루, 물","소금, 고추가루, 다진마늘, 다진생강, 멸치젓, 새우젓, 설탕, [절임용 소금물] 물",총각무
