"id","name","logo_img","base_price","category","detail"
"20","요고 61","KT","61,000 ","통신사","{""content"": [""데이터 - 완전 무제한"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""공유 데이터 2배 제공"", ""1회선 최대 100% 할인"", ""VIP"", ""OTT 1개 또는 디바이스 할인"", ""콘텐츠1개""]]}"
"21","요고 55","KT","55,000 ","통신사","{""content"": [""데이터 - 200GB+다 쓰면 최대 5Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""기본 데이터 한번 더 제공"", ""1회선 최대 50% 할인"", ""VIP"", ""OTT 1개 또는 디바이스 할인"", ""콘텐츠1개50% 할인""]]}"
"22","요고 49","KT","49,000 ","통신사","{""content"": [""데이터 - 120GB+다 쓰면 최대 5Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""기본 데이터 한번 더 제공"", ""OTT 1개"", ""콘텐츠1개50% 할인"", ""VIP""]]}"
"23","요고 46","KT","46,000 ","통신사","{""content"": [""데이터 - 80GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""기본 데이터 한번 더 제공"", ""OTT 1개"", ""콘텐츠1개50% 할인"", ""VIP""]]}"
"24","요고 44","KT","44,000 ","통신사","{""content"": [""데이터 - 40GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""기본 데이터 한번 더 제공"", ""OTT 1개"", ""콘텐츠1개50% 할인"", ""VIP""]]}"
"25","요고 42","KT","42,000 ","통신사","{""content"": [""데이터 - 35GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""기본 데이터 한번 더 제공"", ""OTT 1개"", ""콘텐츠1개50% 할인"", ""VIP""]]}"
"26","요고 40","KT","40,000 ","통신사","{""content"": [""데이터 - 30GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""기본 데이터 한번 더 제공"", ""OTT 1개"", ""콘텐츠1개50% 할인""]]}"
"27","요고 38","KT","38,000 ","통신사","{""content"": [""데이터 - 25GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""기본 데이터 한번 더 제공"", ""OTT 1개"", ""콘텐츠1개50% 할인""]]}"
"28","요고 36","KT","36,000 ","통신사","{""content"": [""데이터 - 20GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""기본 데이터 한번 더 제공"", ""OTT 1개"", ""콘텐츠1개50% 할인""]]}"
"29","요고 34","KT","34,000 ","통신사","{""content"": [""데이터 - 15GB+다 쓰면 최대 400Kbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""기본 데이터 한번 더 제공"", ""OTT 1개"", ""콘텐츠1개50% 할인""]]}"
"30","요고 32","KT","32,000 ","통신사","{""content"": [""데이터 - 10GB+다 쓰면 최대 400Kbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""기본 데이터 한번 더 제공"", ""OTT 1개"", ""콘텐츠1개50% 할인""]]}"
"31","요고 30","KT","30,000 ","통신사","{""content"": [""데이터 - 8GB+다 쓰면 최대 400Kbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""기본 데이터 한번 더 제공"", ""OTT 1개"", ""콘텐츠1개50% 할인""]]}"
"32","초이스 프리미엄","KT","130,000 ","통신사","{""content"": [""데이터 - 무제한"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""데이터 로밍 : 무제한\n(최대 3Mbps\n속도제어)"", ""택1(티빙/지니/밀리,넷플릭스,유튜브 프리미엄2),디즈니+,위버스,삼성,디바이스,폰케어,가전구독)"", ""택1(지니뮤직,밀리의서재,블라이스 셀렉트)"", ""단말보험 가입 및 납부 고객 월정액 요금을 멤버십 월 최대 4,500원 할인3)"", ""1회선 무료"", ""1회선 무료"", ""만 34세 이하 공유데이터 2배 제공, (초이스 베이직) 스마트기기 1회선 무료(선택 시, 데이터쉐어링 혜택 제외)""]]}"
"33","초이스 스페셜","KT","110,000 ","통신사","{""content"": [""데이터 - 무제한"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""데이터 로밍 : 무제한\n(최대 100Kbps\n속도제어)"", ""택1(티빙/지니/밀리,넷플릭스,유튜브 프리미엄2),디즈니+,위버스,삼성,디바이스,폰케어,가전구독)"", ""택1(지니뮤직,밀리의서재,블라이스 셀렉트)"", ""단말보험 가입 및 납부 고객 월정액 요금을 멤버십 월 최대 4,500원 할인3)"", ""1회선 무료"", ""1회선 무료"", ""만 34세 이하 공유데이터 2배 제공, (초이스 베이직) 스마트기기 1회선 무료(선택 시, 데이터쉐어링 혜택 제외)""]]}"
"34","초이스베이직","KT","90,000 ","통신사","{""content"": [""데이터 - 무제한"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""데이터 로밍 : 무제한\n(최대 100Kbps\n속도제어)"", ""택1(티빙/지니/밀리,넷플릭스,유튜브 프리미엄2),디즈니+,위버스,삼성,디바이스,폰케어,가전구독)"", ""1회선 무료"", ""만 34세 이하 공유데이터 2배 제공, (초이스 베이직) 스마트기기 1회선 무료(선택 시, 데이터쉐어링 혜택 제외)""]]}"
"35","스페셜","KT","100,000 ","통신사","{""content"": [""데이터 - 무제한"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""무제한(최대100Kbps속도제어)"", ""단말보험 가입 및 납부 고객 월정액 요금을 멤버십 월 최대 4,500원 할인3)"", ""1회선 무료"", ""만 34세 이하 : 공유데이터 2배 제공 (베이직), 스마트기기 1회선 50% 할인""]]}"
"36","베이직","KT","80,000 ","통신사","{""content"": [""데이터 - 무제한"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""무제한(최대100Kbps속도제어)""]]}"
"37","5G 심플 110GB","KT","69,000 ","통신사","{""content"": [""데이터 - 110GB+다 쓰면 최대 5Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
"38","5G 심플 90GB","KT","67,000 ","통신사","{""content"": [""데이터 - 90GB+다 쓰면 최대 1Mbps"", ""통화량 - 집/이동전화무제한(+영상/부가300분)"", ""문자 - 기본제공"", [""만 34세 이하 : 기본데이터 2배 제공""]]}"
